check_name,desc,pass,detail
oligo_lengths,All oligos within synthesis length limit,TRUE,Range: 185-294 nt (limit: 300)
block_lengths,All gene blocks within synthesis length limit,TRUE,Range: 34-1794 nt (limit: 1800)
barcode_junction_sites,No enzyme sites at barcode-context junctions,TRUE,"0 barcode(s) with junction enzyme sites (left='CACACC', right='AGAATG')"
barcode_uniqueness,All barcodes are unique,TRUE,305970 unique / 305970 total
tile_coverage,Tiles cover entire gene without gaps,TRUE,4395 / 4395 nt covered
variant_count,Expected number of variants generated,TRUE,30597 unique variants (expected: 30597 across 1457/1463 mutable positions; 27683 missense + 1457 nonsense + 1457 wt_control; 6 position(s) skipped)
single_codon_change,Each non-control variant differs by exactly one codon from WT,TRUE,291400 / 291400 variants confirmed (WT controls excluded)
oligo_gc_content,Oligo GC content within reasonable range (25-75%),TRUE,GC range: 43.7-66.3% | 0 oligo(s) with extreme GC
domestication_complete,"Gene domesticated for all 3 enzymes (BsaI, BsmBI, PaqCI)",TRUE,No enzyme sites in gene
overhang_fidelity,Tile boundary overhangs have adequate fidelity,FALSE,21 tile(s) with low-fidelity boundary overhangs (<0.80)
tile_manifests,Per-tile assembly manifests complete,TRUE,24 tile manifest(s) generated
helper_plasmid,Helper plasmid free of unintended BsmBI sites,TRUE,OK
reaction_fidelity,Per-reaction set-level overhang fidelity,TRUE,Min set fidelity: 0.9979 across 48 reactions | 0 reaction(s) below 0.90
barcode_poliii_term,No barcodes contain PolIII terminator signal (TTTT),TRUE,0 / 305970 barcode(s) contain TTTT
barcode_hairpins,No barcodes have hairpin stems > 3 bp,TRUE,0 / 305970 barcode(s) have hairpin stems > 3 bp
barcode_dinuc_repeats,No barcodes have dinucleotide repeats > 4 units,TRUE,0 / 305970 barcode(s) exceed 4 dinuc repeat units
barcode_tm_distribution,Barcode Tm distribution (informational),TRUE,"Tm: median=53.3, range=[42.2, 65.7], sd=4 C"
block_min_length,All gene blocks above synthesis minimum length,FALSE,12 block(s) below 300 nt minimum. Range: 34-1794 nt
cassette_fragment_lengths,Cassette fragments within synthesis limits,FALSE,"2 cassette fragment(s). Range: 297-1587 nt. 0 over max, 1 under min."
sb_overhang_collisions,Superblock boundary overhangs are unique (no collisions),TRUE,"5 SB boundary OH(s), all unique"
